Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Gold,2024-05-08,Caroline MARKS,F,Surfing,Women,United States,USA,3
Silver,2024-07-08,Gashim MAGOMEDOV,H,Taekwondo,Men -58kg,Azerbaijan,AZE,2
Bronze,2024-01-08,Pau ECHANIZ,H,Canoe Slalom,Men's Kayak Single,Spain,ESP,1
Gold,2024-09-08,Rai BENJAMIN,H,Athletics,Men's 400m Hurdles,United States,USA,3
Silver,2024-08-08,Daniel ROBERTS,H,Athletics,Men's 110m Hurdles,United States,USA,2
Bronze,2024-06-08,Yared NUGUSE,H,Athletics,Men's 1500m,United States,USA,1
Bronze,2024-01-08,Tes SCHOUTEN,F,Swimming,Women's 200m Breaststroke,Netherlands,NED,1
Bronze,2024-10-08,Jasmine CAMACHO-QUINN,F,Athletics,Women's 100m Hurdles,Puerto Rico,PUR,1
Gold,2024-05-08,Alice D'AMATO,F,Artistic Gymnastics,Women's Balance Beam,Italy,ITA,3
Silver,2024-11-08,Daria PIKULIK,F,Cycling Track,Women's Omnium,Poland,POL,2
Gold,2024-02-08,Teddy RINER,H,Judo,Men +100 kg,France,FRA,3
Bronze,2024-10-08,Emma Aastrand JORGENSEN,F,Canoe Sprint,Women's Kayak Single 500m,Denmark,DEN,1
Gold,2024-07-30,NAGASE Takanori,H,Judo,Men -81 kg,Japan,JPN,3
Silver,2024-07-29,Jagger EATON,H,Skateboarding,Men's Street,United States,USA,2
Silver,2024-05-08,Jack ROBINSON,H,Surfing,Men,Australia,AUS,2
Gold,2024-07-31,Adriana RUANO OLIVA,F,Shooting,Trap Women,Guatemala,GUA,3
Bronze,2024-09-08,Gulomjon ABDULLAEV,H,Wrestling,Men's Freestyle 57kg,Uzbekistan,UZB,1
Bronze,2024-07-29,Adil OSMANOV,H,Judo,Men -73 kg,Republic of Moldova,MDA,1
Silver,2024-09-08,Buse Naz CAKIROGLU,F,Boxing,Women's 50kg,Türkiye,TUR,2
Bronze,2024-07-08,Lena STOJKOVIC,F,Taekwondo,Women -49kg,Croatia,CRO,1
Silver,2024-09-08,Karsten WARHOLM,H,Athletics,Men's 400m Hurdles,Norway,NOR,2
Bronze,2024-07-28,Kimberley WOODS,F,Canoe Slalom,Women's Kayak Single,Great Britain,GBR,1
Bronze,2024-07-29,HASHIMOTO Soichi,H,Judo,Men -73 kg,Japan,JPN,1
